Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
A Brief History of Data Ontology,https://www.dataversity.net/a-brief-history-of-data-ontology/,"It can be said that the history of data ontology starts with the development of ontology as a concept in Greece, back in the fourth century B.C.E. It was developed by Aristotle, the famous philosopher. Ontology is a branch of philosophy that is used to classify and explain “that which exists” or answer the question “What is real?” It relies on language as a tool for both thinking and communication, and involves questioning what things do exist, how they are related to one another (providing context), and how to classify these things according to their similarities and differences.",Keith D. Foote,Research & Practice,Article or Journal,Ontology,English
"A collection of research on knowledge graphs

",https://github.com/shaoxiongji/knowledge-graphs,"This research guide provides a broad overview of knowledge graph papers, codes, and reading notes.",Shaoxiong Ji,Learn & Teach,Research Guide,Knowledge Graphs,"English,Mandarin"
An analysis of ontologies and their success factors for application to business,https://www.sciencedirect.com/science/article/abs/pii/S0169023X1500110X,"Ontologies have been less successful than they could be in large-scale business applications due to a wide variety of interpretations. This leads to confusion, and consequently, people from various research communities use the term with different – sometimes incompatible – meanings. This research work analyzes and clarifies the term ontology and points out its difference from taxonomy. By way of two business case studies, both their potential in ontological engineering and the perceived requirements for ontologies are highlighted, and their misuse in research and business is discussed. In order to examine the case for applying ontologies in a specific domain or use case, the main benefits of using ontologies are defined and categorized as technical-centered or user-centered. Key factors that influence the use of ontologies in business applications are derived and discussed. Finally, the paper offers a recommendation for efficiently applying ontologies, including adequate representation languages and an ontological engineering process supported by reference ontologies. To answer the questions of when ontologies should be used, how they can be used efficiently, and when they should not be used, we propose guidelines for selecting an appropriate model, methodology, and tool set to meet customer requirements while making most efficient use of resources.
","Christina Feilmayr,Wolfram Woss",Research & Practice,Article or Journal,Ontology,English
"An Introduction to Knowledge Graphs
",https://ai.stanford.edu/blog/introduction-to-knowledge-graphs/,"Knowledge Graphs (KGs) have emerged as a compelling abstraction for organizing the world’s structured knowledge, and as a way to integrate information extracted from multiple data sources. Knowledge graphs have started to play a central role in representing the information extracted using natural language processing and computer vision.","Vinay K. Chaudhri,Naren Chittar,Michael Genesereth",Learn & Teach,Article or Journal,Knowledge Graphs,English
BioPortal Ontology for COVID-19 Cases and Patient Information,http://bioportal.bioontology.org/ontologies/CODO/?p=summary,This COVID-19 Ontology is a data model for publishing COVID-19 data on the web as a knowledge graph.,"Michael DeBellis,Biswanath Dutta",Learn & Teach,"Research Guide,Dataset","COVID,Public Health,Ontology",English
"Commission on Social Determinants of Health knowledge networks
",https://www.who.int/initiatives/action-on-the-social-determinants-of-health-for-advancing-equity/world-report-on-social-determinants-of-health-equity/commission-on-social-determinants-of-health/knowledge-networks,These networks collate knowledge and evidence to support policy design and action.,World Health Organization (WHO),Learn & Teach,Group,Knowledge Networks,English
Credible Open Knowledge Network (COKN),https://cokn.org/,"In a world where decision making is heavily driven by data, lack of information credibility leads to a populace misled and divided by widespread misinformation and algorithmic decisions that are irrelevant or even catastrophic. Our research is building tools to help software developers and domain experts to improve the accuracy of their knowledge graphs and ensure the credibility of their software powered by such graphs. Applying our techniques and tools to practical domains, we construct knowledge graphs and software to (a) assist healthcare professionals and app and website developers in debunking health misinformation and (b) help cybersecurity professionals in accurately assessing and mitigating software vulnerability.

",Credible Open Knowledge Network (COKN),Learn & Teach,Group,Knowledge Networks,English
"Data Ontology is the Future, and I Can’t Wait",https://www.dataversity.net/data-ontology-is-the-future-and-i-cant-wait/,"Berners-Lee explains data linking this way: “Like the web of hypertext, the web of data is constructed with documents on the web. However, unlike the web of hypertext, where links are relationships anchored in hypertext documents written in HTML, for data they [link] between arbitrary things” — people, places, ideas, events, activities, and just about anything else you can imagine.",Mike Brody,Learn & Teach,Article or Journal,Ontology,English
"Data Ontology, Data Science and the Datafication of the World
",https://www.addletonacademicpublishers.com/contents-jsme/2889-volume-12-1-2024/4595-data-ontology-data-science-and-the-datafication-of-the-world,"This essay explores the profound philosophical, ethical, epistemological, and societal implications of data and datafication, a process transforming vast aspects of human life into quantifiable data. The paper raises foundational questions about the nature of data, its representation of reality, the biases inherent in data-driven methods, and the broader impacts of datafication on society, governance, and individual identity.",Michael A. Peters,Research & Practice,Article or Journal,Ontology,English
Designing Customisable Data Science Curriculum Using Ontology for Data Science Competences and Body of Knowledge,https://dl.acm.org/doi/abs/10.1145/3322134.3322143,"Importance of Data Science education and training is growing with the emergence of data driven technologies and organisational culture that intend to derive actionable value for improving research process or enterprise business using variety of enterprise data and widely available open and social media data. Modern data driven research and industry require new types of specialists that are capable to support all stages of the data lifecycle from data production and input to data processing and actionable results delivery, visualisation and reporting, which can be jointly defined as the Data Science professions family. The education and training of Data Scientists requires multi-disciplinary approach combining wide view of the Data Science and Analytics foundation with deep practical knowledge in domain specific areas. In modern conditions with the fast technology change and strong skills demand, the Data Science education and training should be customizable and delivered in multiple form, also providing sufficient data labs facilities for practical training. This paper discusses approach to building customizable Data Science curriculum for different types of learners based on using the ontology of the EDISON Data Science Framework (EDSF) developed in the EU funded Project EDISON and widely used by universities and professional training organisations.","Yuri Demchenko,Luca Comminiello,Gianluca Reali",Research & Practice,Article or Journal,Ontology,English
