Persona Name	Persona Type	Profession	Learning Path
Ethan	Enthusiast	GraduateStudent	What is a knowledge graph. The fundamentals of a knowledge graph. How to design and implement a knowledge graph.
Debbie	Developer	DataScientist/Engineer	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG: rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it?. SPARQL query language, when and how to use it?. Validation of the KG through Apache Jena Fuseki.
Darwin	Darwin	DataScientist	What is a Knowledge Graph. Introduction to Set Theory and Description Logic. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG: rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it?. SPARQL query language, when and how to use it?. Validation of the KG through Apache Jena Fuseki.
Connie	Contributor	Ontologist Technical Lead	Modeling Fundamentals,Survey of Modeling Tools,Understanding KGs narrative/use-case and CQs,How do these elements constrain the development and set boundaries?,Schema-diagramming tools, Axiomatizations through Protege,Survey of Documentation Practices,Documentation of KG’s use-case and CQs,Standardization of diagram syntax with respective diagram files,Axiom descriptions from Manchester-to-Natural Language,Modeling Technologies: Deploying a Knowledge Graph,Data integration tools (rdf-lib starter),Modular Ontology Modeling,Introduction to Modular Ontologies,MO reasoning and applicability,Patterns for higher concepts representation,What libraries already exist? (MODL) and How can someone adopt from this?
Courtney	Contributor	DataAnalyst	What is a knowledge graph? Understanding of triples (node-edge-node) What are properties in triples or KGs? Knowledge Base vs Database differences What is an ontology? Entity representation with relationship connections What is reification? What are axioms? Open World vs Closed World assumptions Cardinality Axioms; Domain-Range Restriction Manchester Syntax Survey of Modeling Tools Schema-diagramming tools, Axiomatizations through Protege Data integration tools (rdf-lib starter) Survey of Triplestores Uploading of KG files (TTL, OWL) Querying from KGs with SPARQL
Edward	Executive	CTO	What is a Knowledge Graph. Why is using a KG different and better than other traditional database management? Look into real world KG end tools.
Chris	Consultant	Consultant	What is a Knowledge Graph. Why are the benefits of using KGs? What is the end goal/ tool and how is it going to be used?
Carla	Collaborator	CollaborationFacilitator	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a Knowledge Graph. What is a TTL file, how to read it ?. SPARQL query language, when and how to use it ?. Validation of the KG through Apache Jena Fuseki.
Oratius	Ontology/VocabularyExpert	Ontology/VocabularyExpert	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Identifier. What is Protege/ Yed. OWL Syntax.
Elias	EducationalFacilitator	EducationalFacilitator	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG : rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it ?. SPARQL query language, when and how to use it ?. Validation of the KG through Apache Jena Fuseki.
Cameron	CurriculumDeveloper	CurriculumDeveloper	What is a Knowledge Graph. Background information in Set Theory and Axiom understanding. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax.
Ronnie	ResourceDeveloper	ResourceDeveloper	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG : rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it ?. SPARQL query language, when and how to use it ?. Validation of the KG through Apache Jena Fuseki.
Usman	UserEngagementFacilitator	UserEngagementFacilitator	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG : rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it ?. SPARQL query language, when and how to use it ?. Validation of the KG through Apache Jena Fuseki. Showcasing the tool.
Stella	SecurityAnalyst/DeveloperTrainer	SecurityAnalyst/DeveloperTrainer	What is a Knowledge Graph. RDF and RDFS familiarization along with what a Schema is. What is an Ontology. What is an Identifier. What is Protege/ Yed. OWL Syntax. How to deploy a KG : rdflib starter code - Go through it, understand it, work with examples. What is a TTL file, how to read it ?. SPARQL query language, when and how to use it ?. Validation of the KG through Apache Jena Fuseki. Showcase the tool.
Silas	SupplyChainEngagementSpecialist	SupplyChainEngagementSpecialist	What is a Knowledge Graph. Validation of the KG through Apache Jena Fuseki. Why using a KG on top of a simple Database?
Kai	KGResearcher	KGResearcher	Introduction to Knowledge Graphs and their applications in data-centric fields. Using Apache Jena Fuseki for validation of KGs. Understanding why KGs provide more value over traditional databases. Showcasing KG tools like Neo4J for data exploration and interaction.
Ella	ExecutiveEngagementSpecialist	ExecutiveEngagementSpecialist	Understanding Digital Twins: Highlight how KGs can act as digital twins, providing a comprehensive and real-time representation of data and processes, which is a concept many executives are familiar with. Outcome-Driven Learning: Provide materials (e.g., videos, infographics) that focus on the business outcomes of using KGs, such as improved decision-making, strategic insights, and operational efficiencies. Unified Interface for Data Interaction: Explain the importance of a unified interface for executives to easily explore and interact with the data within the KG.
