Persona,Learning Path,Curriculum,Module Title,Module Level,Module Category,Module Topics Covered,Media Title,Media Link,Media Type,Media Topics Covered,Audience,Language,Author,Topic,Broader Topics,Narrower Topics,Event,Event Type,Sub Events
,,Open Knowledge Graph,What is Metadata?,Beginner,Foundational,Metadata,,,,,Any,,,,,,,,
,,Open Knowledge Graph,What is an Ontology?,,,"Ontology, Linked Data, Taxonomy, Schema, Statement, Triple",,,,,,,,,,,,,
,,Open Knowledge Graph,What is a Knowledge Graph?,Beginner,Foundational,"Schema, Statements, Triple",,,,,Any,,,,,,,,
,,Open Knowledge Graph,What is an Identifier?,Beginner,Foundational,"URI, Hash or Slash, Namespace",,,,,Any,,,,,,,,
,,Open Knowledge Graph,Introduction to Logic,Beginner,Foundational,"Conjunction, Disjunction, Boolean Arithmetic",,,,,Any,,,,,,,,
,,Open Knowledge Graph,Propositional Logic,Beginner,Foundational,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Datalog,Beginner,Foundational,,,,,,Student,,,,,,,,
,,Open Knowledge Graph,Predicate Logic,Beginner,Foundational,,,,,,Student,,,,,,,,
,,Open Knowledge Graph,Description Logic,Advanced,Foundational,,,,,,Student,,,,,,,,
,,Open Knowledge Graph,Rules,Beginner,Foundational,,,,,,Student,,,,,,,,
,,Open Knowledge Graph,Introduction to Set Theory,Beginner,Foundational,"Union, Disjunction, Disjointness, Intersection, Cardinality, Tuple, Graph",,,,,Student,,,,,,,,
,,Open Knowledge Graph,Introduction to Discrete Mathematics,Intermediate,Foundational,"Functionality, Reflexivity, Transitivity, Inverse, Domain, Range",,,,,Student,,,,,,,,
,,Open Knowledge Graph,Open World Assumption vs Closed World Assumption,Beginner,Methods,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,RDF,Beginner,"Standards, Markup Languages","Triple, Subject, Object, Predicate, Class, Type, Namespaces, Literals, Blank Node, Property",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,RDFS,Beginner,"Standards, Markup Languages","Subclass, Subproperty, Domain Restrictions, Range Restrictions",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,RDF Serializations,Beginner,"Standards, Markup Languages","RDF/XML, JSON-LD, Turtle",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,RDF Star,Beginner,Markup Languages,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,SPARQL,Beginner,"Standards, Query Language","Query, Select, Update, Delete, Insert, Construct, Explain",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,SWRL,Intermediate,Standards,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,OWL,Intermediate,Standards,"OWL, OWL2, Datatypes, Data Properties, Object Properties, Axiom, Equiavalence, Anonymous Class, Annotations",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,OWL Dialects,Intermediate,Standards,"Expressivity, OWL EL, OWL QL, OWL RL, OWL DL, OWL Full",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Manchester Syntax,Intermediate,Standards,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,SHACL,Intermediate,Standards,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Schema.org,Beginner,Resources,"rangeIncludes, domainIncludes",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Dublin Core,Beginner,Resources,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,SOSA & SSN,Intermediate,"Standards, Resources",,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,PROV-O,Intermediate,"Standards, Resources","Provenance, Lineage",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,SKOS,Intermediate,"Standards, Resources",,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Survey of Modeling Tools,Intermediate,Technology,"Protege, TopBraid Composer, PoolParty, DataWorld",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Protege,Intermediate,Technology,,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Deploying a Knowledge Graph,Intermediate,"Methods, Technology",,,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,Introduction to Knowledge Engineering,Intermediate,Methods,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Reification,Intermediate,Methods,"N-ary Relations, Blank Nodes",,,,,"Student, Developer",,,,,,,,
,,Open Knowledge Graph,GraphQL,Intermediate,Query Language,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Survey of Documentation Practices,Intermediate,"Survey, Methods",,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Survey of Visualization Tools,Intermediate,"Survey, Visualization, Technology",,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Introduction to Upper Ontologies,Advanced,Methods,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Introduction to Modular Ontologies,Advanced,Methods,,,,,,Any,,,,,,,,
,,Open Knowledge Graph,Survey of Triplestores,Intermediate,"Survey, Technology",,,,,,Any,,,,,,,,
,,Open Knowledge Graph,History of the Semantic Web,Beginner,History/Context,"Ontology, Semantic Web, Taxonomy, Linked Data, Knowledge Graph",,,,,Any,,,,,,,,
