Curriculum,Module Title,Level,Audience,Category,Prerequisite Modules,Topic Covered,Media Title,Format,Language,Media Link,Author,Topic,Broader Topics,Narrower Topics
Open Knowledge Graph,What is Metadata?,Beginner,Any,Foundational,,Metadata,,,,,,,,
Open Knowledge Graph,What is an Ontology?,,,,,"Ontology, Linked Data, Taxonomy, Schema, Statement, Triple",,,,,,,,
Open Knowledge Graph,What is a Knowledge Graph?,Beginner,Any,Foundational,What is Metadata?,"Schema, Statements, Triple",,,,,,,,
Open Knowledge Graph,What is an Identifier?,Beginner,Any,Foundational,,"URI, Hash or Slash, Namespace",,,,,,,,
Open Knowledge Graph,Introduction to Logic,Beginner,Any,Foundational,,"Conjunction, Disjunction, Boolean Arithmetic",,,,,,,,
Open Knowledge Graph,Propositional Logic,Beginner,Any,Foundational,Introduction to Logic,,,,,,,,,
Open Knowledge Graph,Datalog,Beginner,Student,Foundational,Propositional Logic,,,,,,,,,
Open Knowledge Graph,Predicate Logic,Beginner,Student,Foundational,"Propositional Logic, Datalog",,,,,,,,,
Open Knowledge Graph,Description Logic,Advanced,Student,Foundational,Predicate Logic,,,,,,,,,
Open Knowledge Graph,Rules,Beginner,Student,Foundational,Predicate Logic,,,,,,,,,
Open Knowledge Graph,Introduction to Set Theory,Beginner,Student,Foundational,Introduction to Logic,"Union, Disjunction, Disjointness, Intersection, Cardinality, Tuple, Graph",,,,,,,,
Open Knowledge Graph,Introduction to Discrete Mathematics,Intermediate,Student,Foundational,Introduction to Set Theory,"Functionality, Reflexivity, Transitivity, Inverse, Domain, Range",,,,,,,,
Open Knowledge Graph,Open World Assumption vs Closed World Assumption,Beginner,Any,Methods,Introduction to Logic,,,,,,,,,
Open Knowledge Graph,RDF,Beginner,"Student, Developer","Standards, Markup Languages",,"Triple, Subject, Object, Predicate, Class, Type, Namespaces, Literals, Blank Node, Property",,,,,,,,
Open Knowledge Graph,RDFS,Beginner,"Student, Developer","Standards, Markup Languages",RDF,"Subclass, Subproperty, Domain Restrictions, Range Restrictions",,,,,,,,
Open Knowledge Graph,RDF Serializations,Beginner,"Student, Developer","Standards, Markup Languages",RDFS,"RDF/XML, JSON-LD, Turtle",,,,,,,,
Open Knowledge Graph,RDF Star,Beginner,"Student, Developer",Markup Languages,RDF,,,,,,,,,
Open Knowledge Graph,SPARQL,Beginner,"Student, Developer","Standards, Query Language",RDF Serializations,"Query, Select, Update, Delete, Insert, Construct, Explain",,,,,,,,
Open Knowledge Graph,SWRL,Intermediate,"Student, Developer",Standards,SPARQL,,,,,,,,,
Open Knowledge Graph,OWL,Intermediate,"Student, Developer",Standards,"RDF Serializations, OWAxCWA, Description Logic","OWL, OWL2, Datatypes, Data Properties, Object Properties, Axiom, Equiavalence, Anonymous Class, Annotations",,,,,,,,
Open Knowledge Graph,OWL Dialects,Intermediate,"Student, Developer",Standards,OWL,"Expressivity, OWL EL, OWL QL, OWL RL, OWL DL, OWL Full",,,,,,,,
Open Knowledge Graph,Manchester Syntax,Intermediate,"Student, Developer",Standards,OWL,,,,,,,,,
Open Knowledge Graph,SHACL,Intermediate,"Student, Developer",Standards,RDF Serializations,,,,,,,,,
Open Knowledge Graph,Schema.org,Beginner,"Student, Developer",Resources,RDFS,"rangeIncludes, domainIncludes",,,,,,,,
Open Knowledge Graph,Dublin Core,Beginner,"Student, Developer",Resources,RDFS,,,,,,,,,
Open Knowledge Graph,SOSA & SSN,Intermediate,"Student, Developer","Standards, Resources","OWL, Schema.org",,,,,,,,,
Open Knowledge Graph,PROV-O,Intermediate,"Student, Developer","Standards, Resources",,"Provenance, Lineage",,,,,,,,
Open Knowledge Graph,SKOS,Intermediate,"Student, Developer","Standards, Resources",RDF,,,,,,,,,
Open Knowledge Graph,Survey of Modeling Tools,Intermediate,"Student, Developer",Technology,"OWL, SHACL","Protege, TopBraid Composer, PoolParty, DataWorld",,,,,,,,
Open Knowledge Graph,Protege,Intermediate,"Student, Developer",Technology,Manchester Syntax,,,,,,,,,
Open Knowledge Graph,Deploying a Knowledge Graph,Intermediate,"Student, Developer","Methods, Technology",,,,,,,,,,
Open Knowledge Graph,Introduction to Knowledge Engineering,Intermediate,Any,Methods,"RDFS, Protege, OWL, SHACL",,,,,,,,,
Open Knowledge Graph,Reification,Intermediate,"Student, Developer",Methods,Introduction to Knowledge Engineering,"N-ary Relations, Blank Nodes",,,,,,,,
Open Knowledge Graph,GraphQL,Intermediate,Any,Query Language,Property Graphs,,,,,,,,,
Open Knowledge Graph,Survey of Documentation Practices,Intermediate,Any,"Survey, Methods",Introduction to Knowledge Engineering,,,,,,,,,
Open Knowledge Graph,Survey of Visualization Tools,Intermediate,Any,"Survey, Visualization, Technology",Introduction to Knowledge Engineering,,,,,,,,,
Open Knowledge Graph,Introduction to Upper Ontologies,Advanced,Any,Methods,Introduction to Knowledge Engineering,,,,,,,,,
Open Knowledge Graph,Introduction to Modular Ontologies,Advanced,Any,Methods,Introduction to Knowledge Engineering,,,,,,,,,
Open Knowledge Graph,Survey of Triplestores,Intermediate,Any,"Survey, Technology",Deploying a Knowledge Graph,,,,,,,,,
Open Knowledge Graph,History of the Semantic Web,Beginner,Any,History/Context,,"Ontology, Semantic Web, Taxonomy, Linked Data, Knowledge Graph",,,,,,,,
Open Knowledge Graph,Property Graphs,Intermediate,"Student, Developer",Methods,"RDF, RDFS, RDF Serializations, RDF Star, RDF Plus",,,,,,,,,
Open Knowledge Graph,Nanopublications,Intermediate,"Student, Developer",Methods,"RDF, RDFS, RDF Serializations, RDF Star, RDF Plus",,,,,,,,,
Open Knowledge Graph,Survey of Reasoners,Intermediate,Any,"Survey, Technology",Entailment Regimes,"Complexity, Inference",,,,,,,,
Open Knowledge Graph,Entailment Regimes,Intermediate,"Student, Developer","Technology, Methods",OWL,Inference,,,,,,,,
Open Knowledge Graph,RDF Plus,Intermediate,"Student, Developer","Standards, Markup Languages","RDF, OWL",Property,,,,,,,,
Open Knowledge Graph,Open Graph Protocol,Beginner,Any,Markup Languages,,,,,,,,,,
Open Knowledge Graph,What is Metadata?,,,,,Metadata,What is Metadata?,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/1.%20What%20is%20Metadata.md,GPT4o,,,
Open Knowledge Graph,What is an Ontology?,,,,,"Ontology, Linked Data, Taxonomy, Schema, Statement, Triple",What is an Ontology?,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/2.%20What%20is%20Ontology.md,GPT4o,,,
Open Knowledge Graph,What is a Knowledge Graph?,,,,,"Schema, Statements, Triple",What is a Knowledge Graph?,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/3.%20What%20is%20a%20Knowledge%20Graph.md,GPT4o,,,
Open Knowledge Graph,What is an Identifier?,,,,,"URI, Hash or Slash, Namespace",What is an Identifier?,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/4.%20What%20is%20an%20Identifier.md,GPT4o,,,
Open Knowledge Graph,Introduction to Logic,,,,,"Conjunction, Disjunction, Boolean Arithmetic",Introduction to Logic,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/5.%20Introduction%20to%20Logic.md,GPT4o,,,
Open Knowledge Graph,Propositional Logic,,,,,,Propositional Logic,Article,English,https://github.com/kastle-lab/Educational-Content-Generation-using-LLMs/blob/master/First%20Pass/GPT/6.%20Propositional%20Logic.md,GPT4o,,,
